店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
鱼豆吉·豆浆鱼火锅（大慧寺店）,海淀区大慧寺路与大柳树路交叉口西北角,鱼火锅,65.0,4.6,1873,北下关
滇釜火锅·能喝汤的火锅（车公庄店）,海淀区首体南路9号主语国际7号楼2楼（近地铁6号线白石桥南站E口）,云南火锅,98.0,4.6,4950,紫竹桥
宽板凳老灶火锅（金源购物中心店）,海淀区蓝靛厂路人民大学附属小学银燕分校（发德宝集团对面）,重庆火锅,87.0,4.1,564,四季青
大得涮肉（紫竹桥店）,海淀区紫竹桥东北角广源闸路广源大厦北侧派出所对面,老北京火锅,118.0,4.4,115,紫竹桥
杨家火锅（中关村店）,海淀区海淀南路4号楼16商铺（黄庄地铁口往西）,重庆火锅,97.0,4.4,169,中关村
谭记潮汕牛肉火锅·潮粥馆（西直门店）,海淀区交大东路66号院2号楼1层125-126号,潮汕牛肉火锅,92.0,4.4,273,西直门/动物园
小肥羊（西三旗店）,昌平区建材城西路87号2号楼2楼201-8室商铺,牛羊肉火锅,89.0,4.7,2194,西三旗
湊湊火锅·茶憩（领展购物广场店）,海淀区丹棱街甲1号领展购物中心中关村店5层,特色火锅,115.0,4.5,92,中关村
葫芦娃牛板筋火锅（杏坛路店）,海淀区杏坛路北三环中路44号,火锅,63.0,4.7,9,牡丹园/北太平庄
草原香（香山店）,海淀区香山一棵松路2号（近西郊线香山站）,老北京火锅,80.0,4.8,3922,香山/植物园
攀成钢小郡肝串串香（五棵松华熙店）,海淀区复兴路华熙live中心C座地下一层（凯迪拉克中心东侧、中铁广场对面玻璃写字楼C座地下一层）,串串香,107.0,4.6,105,五棵松
前后涮羊肉·京味火锅（北京荣耀店）,海淀区二里庄志新路16-7号,老北京火锅,110.0,5.0,35,五道口
东来顺饭庄（闵庄店）,海淀区北坞嘉园南里35号楼玉泉商业生活中心四层,老北京火锅,95.0,4.3,497,颐和园
